"","CON1.bam","CON2.bam","CON3.bam","CON4.bam","Era1.bam","Era2.bam","Era3.bam","Era4.bam","OA1.bam","OA2.bam","OA3.bam","OA4.bam","RSL1.bam","RSL2.bam","RSL4.bam"
"100287102",20,13,12,7,2,8,10,7,9,5,3,4,6,3,7
"653635",647.5,504,1073,1438,769.5,454,734,1067,615,580.5,1003.5,1191,425,335,753
"102466751",6,12,36.5,47,23,8,20,31.5,12,10.5,41,34,7,3,12
"100302278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"729737",51636.67,80516.17,42778,63885.67,66268.83,72488.33,50281.83,61670.33,60993.33,78066.5,42384,58136.67,48657.67,74734.33,46928.5
"102725121",1,3,2,3,1,5,11,4,4,2,4,1,0,2,2
"102723897",525.5,543.5,736,979,580.5,360.5,559.5,720.5,493,586.5,765.5,719.5,307,346,488.5
"102465909",21,20,39,28,23,17,24.5,29,9,27,49,41,7,6.5,13
"729759",0,3,1,0,0,3,0,0,0,0,1,0,1,3,1
"100132287",6956,11416,8283,7635.5,10904.5,10712.5,10561.5,8054.5,8472.5,11562.33,9241,7488.33,7555.5,11186.33,6017.5
"105378947",0,0,1,1,1,1,1,0,3,1,0,0,0,1,1
"101928626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102465432",255,183,144,219,132,114,104,161,150,90,119,188,96,90,158
"81399",0,0,0,0,1,0,0,1,0,0,0,0,1,2,0
"100133331",11232,17014,10924,11511.33,15789.5,13536.5,9412,10231,12203.5,14979.5,10551.5,9866.33,8349,14411.83,6862
"100288069",297,777,564,631,639,1307.5,1353,837.5,831,823,1055.5,1144.5,947.5,994,852
"400728",3,4,5,7,6,8,13,8,4,4,6,8,13,6,22
"79854",101.5,120,125,135.5,158,128,239.5,163.5,91.5,99.5,149,176.5,147,104.5,165
"643837",163,182,139,355.5,187,217,181,366.5,176.5,210,195,403,149,258.5,479.5
"284593",40,43,40,45,37,32,40,44,24.5,33,46.5,48,22,29,43
"100130417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148398",54.5,39.5,29.33,50.83,69,37,21.5,42.5,36,24.5,20,38.33,16,20,29
"26155",563.5,651.5,542.33,751.33,837,583,495.5,723.5,491,638,533,624.33,365.5,405.5,461.5
"339451",119,156,93,220.5,119.5,110,81,154,100,137,105,181,83,115,120
"84069",3,2,2,4,4,0,6,6,2,1,4,4,4,3,1
"84808",3,0,0,4,5,2,1,2,6,2,0,2,2,2,2
"57801",177,140,309,526,208,116,271,455,69,88,162,325,144,392,478
"9636",3292.5,2924,2783.5,5465,2891,1986,1851.5,3760.5,1373.5,1943,1548,2710.5,1337.5,2725,2724
"375790",131,241.5,185,251,201,171,179,223,170,210,166,240.5,146,152,150
"105369174",19,20.5,31.5,17,26,24,41,22,38,18.5,27.5,14,36,15,11.5
"105378948",21,13.5,32.5,23,26,14,31,16,30,23.5,18,11,24,18,16.5
"401934",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"54991",172,121,126,184.5,188,94,80,147,167,122,121,118,141,120.5,124.5
"254099",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"406984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"406983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"554210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254173",1,3,2,1,3,1,0,1,2,2,1,4,1,0,3
"8784",202,50,31,113,112,22,10,72,115.5,37,39,78,58,20,57.5
"7293",252,96,105,207,170,85,56,144,161,68,100,113.5,114,80,110
"51150",3886.5,3759.5,3989,5150,4142.5,3358.5,3346.5,4637,3133.5,3812,3511,3955.33,3097,3340.5,3409
"126792",97,67,75,88.5,68,65,33.5,94,62,66,70.5,99,54,29,45
"388581",54,48,59,39,84,50,32,55,54,54,41,40,25,43,27
